S&P 500 Historical Price Data,,,,,,
Date,Price,Open,High,Low,Vol.,Change %
02/12/2009,"1,109.20","1,109.00","1,115.60","1,105.30",,0.03%
03/12/2009,"1,099.90","1,110.60","1,117.30","1,098.70",,-0.84%
04/12/2009,"1,106.00","1,100.40","1,119.10","1,096.50",,0.55%
07/12/2009,"1,103.20","1,105.50","1,110.70","1,100.80",,-0.25%
08/12/2009,"1,091.90","1,103.00","1,103.00","1,088.60",,-1.02%
09/12/2009,"1,096.00","1,091.10","1,097.00","1,085.90",,0.38%
10/12/2009,"1,102.30","1,098.70","1,106.20","1,098.70",,0.57%
11/12/2009,"1,106.40","1,104.00","1,108.50","1,101.30",,0.37%
14/12/2009,"1,114.10","1,107.80","1,114.80","1,107.80",,0.70%
15/12/2009,"1,107.90","1,114.10","1,114.10","1,105.30",,-0.56%
16/12/2009,"1,109.20","1,108.60","1,116.20","1,108.00",,0.12%
17/12/2009,"1,096.10","1,106.40","1,106.40","1,095.90",,-1.18%
18/12/2009,"1,102.50","1,097.90","1,103.70","1,093.90",,0.58%
21/12/2009,"1,114.00","1,105.30","1,117.70","1,105.30",,1.04%
22/12/2009,"1,118.00","1,114.50","1,120.30","1,114.50",,0.36%
23/12/2009,"1,120.60","1,118.80","1,121.60","1,116.00",,0.23%
24/12/2009,"1,126.50","1,121.10","1,126.50","1,121.10",,0.53%
28/12/2009,"1,127.80","1,127.50","1,130.40","1,123.50",,0.12%
29/12/2009,"1,126.20","1,128.50","1,130.40","1,126.10",,-0.14%
30/12/2009,"1,126.40","1,125.50","1,126.40","1,121.90",,0.02%
31/12/2009,"1,115.10","1,126.60","1,127.60","1,114.80",,-1.00%
04/01/2010,"1,133.00","1,116.60","1,133.90","1,116.60",,1.61%
05/01/2010,"1,136.50","1,132.70","1,136.60","1,129.70",,0.31%
06/01/2010,"1,137.10","1,135.70","1,139.20","1,134.00",,0.05%
07/01/2010,"1,141.70","1,136.30","1,142.50","1,131.30",,0.40%
08/01/2010,"1,145.00","1,140.50","1,145.40","1,136.20",,0.29%
11/01/2010,"1,147.00","1,146.00","1,149.70","1,142.00",,0.17%
12/01/2010,"1,136.20","1,143.80","1,143.80","1,131.80",,-0.94%
13/01/2010,"1,145.70","1,137.30","1,148.40","1,133.20",,0.84%
14/01/2010,"1,148.50","1,145.70","1,150.40","1,143.80",,0.24%
15/01/2010,"1,136.00","1,147.70","1,147.80","1,131.40",,-1.09%
19/01/2010,"1,150.20","1,136.00","1,150.50","1,135.80",,1.25%
20/01/2010,"1,138.00","1,148.00","1,148.00","1,129.20",,-1.06%
21/01/2010,"1,116.50","1,138.70","1,141.60","1,114.80",,-1.89%
22/01/2010,"1,091.80","1,115.50","1,115.50","1,090.20",,-2.21%
25/01/2010,"1,096.80","1,092.40","1,103.00","1,092.40",,0.46%
26/01/2010,"1,092.20","1,095.80","1,103.70","1,089.90",,-0.42%
27/01/2010,"1,097.50","1,091.90","1,099.50","1,083.10",,0.49%
28/01/2010,"1,084.50","1,096.90","1,100.20","1,078.50",,-1.18%
29/01/2010,"1,073.90","1,087.60","1,096.50","1,071.60",,-0.98%
01/02/2010,"1,089.20","1,073.90","1,089.40","1,073.90",,1.42%
02/02/2010,"1,103.30","1,090.00","1,104.70","1,088.00",,1.29%
03/02/2010,"1,097.30","1,100.70","1,102.70","1,094.00",,-0.54%
04/02/2010,"1,063.10","1,097.20","1,097.20","1,062.80",,-3.12%
05/02/2010,"1,066.20","1,064.10","1,067.10","1,044.50",,0.29%
08/02/2010,"1,056.70","1,065.50","1,071.20","1,056.50",,-0.89%
09/02/2010,"1,070.50","1,060.10","1,079.30","1,060.10",,1.31%
10/02/2010,"1,068.10","1,069.70","1,073.70","1,059.30",,-0.22%
11/02/2010,"1,078.50","1,067.10","1,080.00","1,060.60",,0.97%
12/02/2010,"1,075.50","1,076.00","1,077.80","1,063.00",,-0.28%
16/02/2010,"1,094.90","1,079.10","1,095.70","1,079.10",,1.80%
